Date,Open,High,Low,Close,Volume
13-Dec-16,764.96,782.46,762,774.34,5285288
12-Dec-16,766.4,766.89,757.2,760.12,2963945
9-Dec-16,770,770.25,765.34,768.66,2470923
8-Dec-16,771.87,773.79,765.19,767.33,3189608
7-Dec-16,764.55,770.42,755.82,770.42,3684906
6-Dec-16,763.99,768.24,757.25,764.72,3794746
5-Dec-16,745,761.49,742,759.36,4314723
2-Dec-16,743.4,748.49,736.7,740.34,3561307
1-Dec-16,752.41,753.37,738.03,743.65,4665993
30-Nov-16,762,768.09,750.25,750.57,4625946
29-Nov-16,768,769.89,761.32,762.52,3272344
28-Nov-16,776.99,777,764.24,766.77,4438828
25-Nov-16,786.5,786.75,777.9,780.37,1837068
23-Nov-16,781.73,781.75,773.12,780.12,3540263
22-Nov-16,788.17,792.4,781,785.33,5311320
21-Nov-16,766,780.35,765.11,780,4614574
18-Nov-16,761,767.74,757.64,760.16,4373408
17-Nov-16,749.32,757.5,748,756.4,3651345
16-Nov-16,739.88,749.87,735.61,746.49,3648791
15-Nov-16,730,746.78,725.99,743.24,6755785
14-Nov-16,745.51,746,710.1,719.07,7321344
11-Nov-16,735.73,743.26,728.9,739.01,6622784
10-Nov-16,778.81,778.83,717.7,742.38,12746994
9-Nov-16,764,777.5,760.09,771.88,8562892
8-Nov-16,784.97,791.74,779.1,787.75,3412629
7-Nov-16,771.64,787.73,770.94,784.93,5984354
4-Nov-16,762.79,766,753.23,755.05,5122103
3-Nov-16,765.05,777,764,767.03,3872496
2-Nov-16,783.93,784.75,763.55,765.56,5026504
1-Nov-16,799,800.84,776.71,785.41,5305428
31-Oct-16,781.03,793.7,780.11,789.82,5413326
28-Oct-16,782,789.49,774.61,776.32,10841073
27-Oct-16,831.24,831.72,815.43,818.36,7406385
26-Oct-16,832.76,833.44,820,822.59,3998102
25-Oct-16,839.3,843.09,833.22,835.18,3248358
24-Oct-16,824.95,838.3,822.21,838.09,4060899
21-Oct-16,809.36,819.42,809,818.99,2793015
20-Oct-16,813.99,815.71,803.1,810.32,3151954
19-Oct-16,820.4,820.67,815.17,817.69,2090706
18-Oct-16,822.11,823.26,815.02,817.65,2512504
17-Oct-16,821.5,822,811.68,812.95,3361492
14-Oct-16,835.08,835.74,822.96,822.96,2999814
13-Oct-16,829,831.8,821.21,829.28,3091387
12-Oct-16,834,837.67,830.1,834.09,2380416
11-Oct-16,841.02,841.29,828.35,831,3588180
10-Oct-16,843.25,845.2,840.27,841.71,1827143
7-Oct-16,845.79,845.95,837.45,839.43,2426228
6-Oct-16,843.7,847.21,840.6,841.66,2684013
5-Oct-16,838,845.67,836.12,844.36,3469055
4-Oct-16,840.91,842.36,830.26,834.03,2950314
3-Oct-16,836,839.86,831.25,836.74,2769448
30-Sep-16,832.61,839.95,832.4,837.31,4430566
29-Sep-16,828.26,837.5,824.63,829.05,4922248
28-Sep-16,818,830.14,817.03,828.72,4422078
27-Sep-16,801.85,816.64,801.11,816.11,3819600
26-Sep-16,801.8,805.93,797.14,799.16,2651397
23-Sep-16,803.13,807.75,802.12,805.75,2353511
22-Sep-16,794.27,805.89,794.27,804.7,4078910
21-Sep-16,783.25,790.69,779.01,789.74,2718644
20-Sep-16,776,781.37,776,780.22,1937164
19-Sep-16,779.97,781.94,771,775.1,2297221
16-Sep-16,773.28,780.46,771.66,778.52,5499182
15-Sep-16,762,770.87,757.58,769.69,3043534
14-Sep-16,762.2,767.5,758.85,761.09,2531822
13-Sep-16,768.77,769.89,759.05,761.01,3117224
12-Sep-16,757.35,772.66,756,771.49,3124704
9-Sep-16,779.36,781,760.11,760.14,4257344
8-Sep-16,783.89,786.5,781.44,784.06,2030511
7-Sep-16,789.53,790.79,784.33,784.48,2424622
6-Sep-16,774.04,789.48,770.22,788.87,3719788
2-Sep-16,774.11,776,771.7,772.44,2157422
1-Sep-16,770.9,772.04,766.75,770.62,1792271
31-Aug-16,766.6,769.64,764,769.16,1633789
30-Aug-16,771.05,771.84,765.56,767.58,1709158
29-Aug-16,768.72,774.98,768.6,771.29,2198560
26-Aug-16,760.05,770,759.8,769,2776830
25-Aug-16,756,760.56,754.74,759.22,1622992
24-Aug-16,763,763.41,755.36,757.25,1744107
23-Aug-16,763.31,764.7,761,762.45,1524131
22-Aug-16,757.5,759.85,752.1,759.48,1679251
19-Aug-16,761.9,762.49,756.89,757.31,2343237
18-Aug-16,764,765.17,760.6,764.46,1458834
17-Aug-16,764.41,765.22,759.2,764.63,1891116
16-Aug-16,768.62,768.73,763.82,764.04,1604561
15-Aug-16,771.9,772.04,767.71,768.49,2118521
12-Aug-16,768.46,773.15,768.42,772.56,1563318
11-Aug-16,769.94,773.75,769.12,771.24,2019740
10-Aug-16,769.8,772.1,766.19,768.56,1604280
9-Aug-16,767.39,772.6,766.9,768.31,1876091
8-Aug-16,766.81,767,761.02,766.56,1986272
5-Aug-16,764.81,768.47,763.09,765.98,2704391
4-Aug-16,753.7,765,750.35,760.77,3178208
3-Aug-16,757.06,758.89,752.25,754.64,3581525
2-Aug-16,763.81,765.01,757.02,760.58,3603280
1-Aug-16,759.87,770.5,757.06,767.74,3578205
29-Jul-16,765,766,755,758.81,6777050
28-Jul-16,745.98,753.36,739.7,752.61,7617580
27-Jul-16,737.97,740.94,733.86,736.67,2913134
26-Jul-16,742.71,743.13,732.75,735.59,2529692
25-Jul-16,746.55,748.5,735.35,739.61,2679290
22-Jul-16,747.79,751.28,743.53,744.86,2277711
21-Jul-16,747.5,749.36,742.79,744.43,2317072
20-Jul-16,744,746.25,740.7,745.72,2214023
19-Jul-16,732.5,743.33,732.31,739.95,2216820
18-Jul-16,735.49,741.6,728.72,736.07,2954914
15-Jul-16,746.55,746.55,734.05,735.44,3121385
14-Jul-16,748.86,749.04,739.02,741.2,2390472
13-Jul-16,746.76,756.87,741.25,742.63,4142265
12-Jul-16,756.86,757.34,740.33,748.21,5623657
11-Jul-16,750,755.9,747,753.78,3195272
8-Jul-16,740.14,746.1,738,745.81,3429217
7-Jul-16,739.33,739.55,731.63,736.57,2945783
6-Jul-16,725.71,737.77,722.58,737.61,3938249
5-Jul-16,722.8,728.11,719.61,728.1,2431431
1-Jul-16,717.32,728,716.54,725.68,2920423
30-Jun-16,717.2,719.37,712.54,715.62,2855142
29-Jun-16,715.75,719.5,713.54,715.6,3070052
28-Jun-16,700,708,698.17,707.95,4036957
27-Jun-16,692.01,696.82,682.12,691.36,5584037
24-Jun-16,693,712.53,692.2,698.96,7632511
23-Jun-16,715.5,722.12,712.5,722.08,2824974
22-Jun-16,716.58,717,707.56,710.6,2260454
21-Jun-16,715.72,718.4,712.72,715.82,2137534
20-Jun-16,713.5,721.31,710.81,714.01,3677162
17-Jun-16,718.19,718.2,699.18,706.39,5897788
16-Jun-16,712.05,718,705.3,717.51,3097961
15-Jun-16,722,722.56,713.35,714.26,2709447
14-Jun-16,712.33,720.8,712.27,719.3,2506922
13-Jun-16,714.01,721.99,711.16,715.24,3352201
10-Jun-16,722.35,724.98,714.21,717.91,3425718
9-Jun-16,723.1,728.91,722.3,727.65,2170318
8-Jun-16,726.4,729.42,721.6,726.64,2223366
7-Jun-16,729.89,730,720.55,723.74,2732463
6-Jun-16,726.5,731.5,724.42,726.73,2704806
3-Jun-16,726.74,727,718.43,725.54,3367306
2-Jun-16,720.97,728.28,715.5,728.24,3026583
1-Jun-16,720.9,726.43,718.22,719.44,3263107
31-May-16,712.33,724.23,711.32,722.79,3618323
27-May-16,715,716.6,711.1,712.24,2246353
26-May-16,708.33,715,707.29,714.91,2436846
25-May-16,708,710.86,705.52,708.35,3267686
24-May-16,698.01,707.5,698,704.2,2851442
23-May-16,704.25,706,696.42,696.75,2579171
20-May-16,701.05,707.24,700,702.8,2867442
19-May-16,691.88,699.4,689.56,698.52,3014968
18-May-16,689.56,702.54,688.76,697.45,4272357
17-May-16,709.9,714.47,693.91,695.27,5093930
16-May-16,710.13,713.25,700.28,710.66,5425097
13-May-16,714.64,719.25,706.51,709.92,4746626
12-May-16,717.38,722.45,711.51,717.93,5034666
11-May-16,705.79,719,701.65,713.23,7315995
10-May-16,694,704.55,693.5,703.07,6087032
9-May-16,673.95,686.98,671.41,679.75,3972272
6-May-16,656.05,676.95,656.01,673.95,4347214
5-May-16,673.31,676.49,656,659.09,4875480
4-May-16,662.59,674,662.14,670.9,4574490
3-May-16,677.36,680.3,670.43,671.32,4902099
2-May-16,663.92,685.5,662.03,683.85,6560872
29-Apr-16,666,669.98,654,659.59,10291785
28-Apr-16,615.54,626.8,599.2,602,7142090
27-Apr-16,611.8,615.95,601.28,606.57,4020813
26-Apr-16,626.17,626.75,614.88,616.88,2492620
25-Apr-16,616.61,626.98,616.25,626.2,2666702
22-Apr-16,624.47,628.25,611.56,620.5,5069891
21-Apr-16,631,637.82,628.5,631,2550919
20-Apr-16,630,636.55,623,632.99,2601549
19-Apr-16,637.14,638.01,620.8,627.9,4048806
18-Apr-16,625.35,637.64,624.96,635.35,4336419
15-Apr-16,621.92,626.77,618.11,625.89,2880881
14-Apr-16,615.07,624.38,615.07,620.75,3474327
13-Apr-16,607.68,616.81,605.29,614.82,4209763
12-Apr-16,598.4,604.06,592.31,603.17,2636315
11-Apr-16,596.14,604,594.91,595.93,2696498
8-Apr-16,594.32,597.86,589,594.6,2589156
7-Apr-16,598.76,599.6,589.08,591.43,3153717
6-Apr-16,587.52,602.39,587.5,602.08,2833480
5-Apr-16,590.77,593.47,585.25,586.14,2277169
4-Apr-16,599,599.5,590.55,593.19,2466710
1-Apr-16,590.49,599.03,588.3,598.5,2912350
31-Mar-16,599.28,600.75,592.21,593.64,2673617
30-Mar-16,596.71,603.24,595,598.69,3887968
29-Mar-16,580.15,595.85,576.5,593.86,4167059
28-Mar-16,584.4,584.75,575.56,579.87,3118032
24-Mar-16,567.11,583.55,567.08,582.95,5141569
23-Mar-16,561,572.48,558.1,569.63,3966131
22-Mar-16,545.11,562.76,545.05,560.48,3990902
21-Mar-16,548.91,555.24,538.58,553.98,5146137
18-Mar-16,560.94,562.33,546.09,552.08,7263345
17-Mar-16,569.51,571.4,555.01,559.44,5918200
16-Mar-16,576.64,581.32,571.14,574.27,3474570
15-Mar-16,571,581.52,567,577.02,3876821
14-Mar-16,567,576.89,563.05,573.37,3451873
11-Mar-16,566.95,570.06,562.73,569.61,3755372
10-Mar-16,566.74,567,547.9,558.93,3914343
9-Mar-16,559.56,560.35,550.12,559.47,4373282
8-Mar-16,557.87,571.35,554.74,560.26,4709432
7-Mar-16,573.54,573.63,555.55,562.8,4926936
4-Mar-16,581.07,581.4,571.06,575.14,3405070
3-Mar-16,577.96,579.87,573.11,577.49,2736673
2-Mar-16,581.75,585,573.7,580.21,4576922
1-Mar-16,556.29,579.25,556,579.04,5014414
29-Feb-16,554,564.81,552.51,552.52,4013368
26-Feb-16,560.12,562.5,553.17,555.23,4858230
25-Feb-16,555.52,559.39,545.29,555.15,4510534
24-Feb-16,545.75,554.27,533.15,554.04,6207285
23-Feb-16,555.55,556.91,545.33,552.94,4035929
22-Feb-16,542.2,560.65,541.08,559.5,5541066
19-Feb-16,520.71,535.95,515.35,534.9,4941120
18-Feb-16,541.19,541.2,523.73,525,4704237
17-Feb-16,528.74,537.48,519.39,534.1,4777467
16-Feb-16,519.48,524.45,511.66,521.1,5080654
12-Feb-16,510.7,516.75,501.49,507.08,5357247
11-Feb-16,491.17,509.3,484,503.82,7372686
10-Feb-16,491.76,504.66,486,490.48,6746103
9-Feb-16,478.01,498.38,474,482.07,7045885
8-Feb-16,486.47,493.5,475.21,488.1,9808766
5-Feb-16,529.28,529.45,499.19,502.13,9639606
4-Feb-16,525,538.99,519.22,536.26,6176558
3-Feb-16,553.5,556,521.9,531.07,10037222
2-Feb-16,570,571.56,550.09,552.1,6281425
1-Feb-16,578.15,581.8,570.31,574.81,6313793
29-Jan-16,571.98,593,570,587,14622317
28-Jan-16,608.37,638.06,597.55,635.35,12615917
27-Jan-16,601.99,603.39,578.78,583.35,5029472
26-Jan-16,603.45,604.5,590.38,601.25,3743213
25-Jan-16,597.99,608.5,594.56,596.53,4376653
22-Jan-16,588.73,600.1,584.11,596.38,5101123
21-Jan-16,573.58,588.81,568.22,575.02,4932633
20-Jan-16,564.36,578.45,547.18,571.77,7944703
19-Jan-16,577.09,584,566.45,574.48,4782763
15-Jan-16,572.24,584.62,565.3,570.18,7754464
14-Jan-16,580.25,602.25,569.88,593,7203038
13-Jan-16,620.88,620.88,579.16,581.81,7599968
12-Jan-16,625.25,625.99,612.24,617.89,4724100
11-Jan-16,612.48,619.85,598.57,617.74,4891551
8-Jan-16,619.66,624.14,606,607.05,5512915
7-Jan-16,621.8,630,605.21,607.94,7074915
6-Jan-16,622,639.79,620.31,632.65,5329197
5-Jan-16,646.86,646.91,627.65,633.79,5822603
4-Jan-16,656.29,657.72,627.51,636.99,9280761
31-Dec-15,686.08,687.75,675.89,675.89,3749560
30-Dec-15,691.89,695.49,686.38,689.07,3519003
29-Dec-15,677.98,696.44,677.89,693.97,5734996
28-Dec-15,665.56,675.5,665.5,675.2,3783555
24-Dec-15,663.35,664.68,660.6,662.79,1092970
23-Dec-15,666.5,666.6,656.63,663.7,2722922
22-Dec-15,666.83,668.49,659.26,663.15,2667795
21-Dec-15,668.5,669.9,658.93,664.51,3250900
18-Dec-15,668.65,676.84,664.13,664.14,6841304
17-Dec-15,680,682.5,670.65,670.65,3681645
16-Dec-15,663.56,677.35,659.32,675.77,3964470
15-Dec-15,665.03,671.5,657.35,658.64,4753415
14-Dec-15,641.75,658.58,635.27,657.91,4329653
11-Dec-15,651.23,657.88,639.62,640.15,5474420
10-Dec-15,665.59,668.53,659.56,662.32,3455472
9-Dec-15,678,679,655.68,664.79,5158172
8-Dec-15,663.13,679.99,659.79,677.33,3651908
7-Dec-15,674.74,675.46,660.5,669.83,3732814
4-Dec-15,666,674.78,661.4,672.64,4534796
3-Dec-15,679.44,682.79,661.48,666.25,5064736
2-Dec-15,681,684.82,674.25,676.01,4259104
1-Dec-15,673.75,681,667.86,679.06,4739462
30-Nov-15,675.9,681.29,664.6,664.8,5474105
27-Nov-15,680.8,680.99,672.1,673.26,1966551
25-Nov-15,675,679.7,671.24,675.34,2697889
24-Nov-15,674.14,675.8,661.21,671.15,4533750
23-Nov-15,671.5,682.77,670.12,678.99,4367129
20-Nov-15,663.95,668.87,657.57,668.45,3860188
19-Nov-15,664.99,672.86,659,661.27,4674078
18-Nov-15,646.51,664.88,646.37,663.54,4315747
17-Nov-15,650.65,653.25,641,643.3,4291990
16-Nov-15,640.92,649.99,622.29,647.81,7403464
13-Nov-15,663.57,667,640.45,642.35,6213880
12-Nov-15,673,675.64,664.22,665.6,4246218
11-Nov-15,663.25,675.96,663.25,673.25,5373772
10-Nov-15,653,660,647.26,659.68,3464933
9-Nov-15,658.65,661.96,647.85,655.49,4040181
6-Nov-15,655,662.26,652,659.37,4082524
5-Nov-15,647.1,657,643.09,655.65,4707393
4-Nov-15,627.76,645.93,627.35,640.95,4831843
3-Nov-15,629.53,629.89,622,625.31,3242365
2-Nov-15,627.13,628.63,620.41,628.35,2792454
30-Oct-15,626.01,630.72,625.28,625.9,3840398
29-Oct-15,617.7,627.54,615.39,626.55,3858609
28-Oct-15,612.3,617.23,609.5,617.1,3911944
27-Oct-15,608.6,614.71,605.53,611.01,3721355
26-Oct-15,602.3,609.85,596.29,608.61,4259250
23-Oct-15,617.68,619.45,595.36,599.03,10671575
22-Oct-15,562.7,569.15,556.67,563.91,7250534
21-Oct-15,563.87,565.25,552.52,555.77,3343551
20-Oct-15,572,573,555.28,560.88,4327920
19-Oct-15,570.76,579,567.38,573.15,4326293
16-Oct-15,565.27,570.94,560.31,570.76,4218101
15-Oct-15,547.75,563,547,562.44,4914627
14-Oct-15,551.34,552.25,539.68,544.83,3561089
13-Oct-15,546.26,553.2,543.1,548.9,2737089
12-Oct-15,539.96,550.82,539.8,550.19,2761080
9-Oct-15,534.48,541.79,530.27,539.8,3527237
8-Oct-15,536.71,539.39,519.89,533.16,4648953
7-Oct-15,541.79,542,529,541.94,3788801
6-Oct-15,545.5,551.5,533.33,537.48,4502815
5-Oct-15,536.99,545.91,536,543.68,3352397
2-Oct-15,512.99,532.6,508.1,532.54,4576555
1-Oct-15,511,520.8,506,520.72,3741058
30-Sep-15,505.44,512.8,501.67,511.89,3990425
29-Sep-15,506,511.48,490.5,496.07,4443224
28-Sep-15,520.02,520.28,494.33,504.06,5383198
25-Sep-15,542.57,542.8,521.4,524.25,3910275
24-Sep-15,530.55,534.56,522.87,533.75,3481804
23-Sep-15,538.3,541.21,534,536.07,2228055
22-Sep-15,539.71,543.55,532.66,538.4,3824240
21-Sep-15,544.33,549.78,539.59,548.39,3265264
18-Sep-15,534.62,546.24,531.35,540.26,6125617
17-Sep-15,526.98,546.97,526.57,538.87,4124870
16-Sep-15,521.98,528.3,518.52,527.39,2248046
15-Sep-15,523.25,527.92,517.2,522.37,2845635
14-Sep-15,529.44,532.45,518.58,521.38,3127107
11-Sep-15,521.07,529.44,520.6,529.44,3218563
10-Sep-15,515.15,526.13,514.78,522.24,2562832
9-Sep-15,524,529.95,515.06,516.89,4338714
8-Sep-15,508.69,518.35,508.51,517.54,3777499
4-Sep-15,497.65,502.85,495.64,499,2666341
3-Sep-15,514.5,515.84,502.57,504.72,3098941
2-Sep-15,505.09,510.86,497.72,510.55,3689628
1-Sep-15,499.14,510,493.43,496.54,3824035
31-Aug-15,516.44,519.41,509.07,512.89,2982995
28-Aug-15,517.5,521.5,513.04,518.01,2733815
27-Aug-15,513.71,522.69,507.26,518.37,6064885
26-Aug-15,484.02,503.72,478.76,500.77,6323581
25-Aug-15,487.49,489.44,466.25,466.37,5643973
24-Aug-15,463.58,489.76,451,463.37,10063882
21-Aug-15,507.36,512.33,494.47,494.47,6636405
20-Aug-15,530.39,533.25,515.77,515.78,4374857
19-Aug-15,533.74,537.25,529,532.92,2324040
18-Aug-15,535.04,539.49,533,535.02,2071342
17-Aug-15,531.29,538.74,527.12,535.22,2581680
14-Aug-15,528.25,534.11,528.25,531.52,1994799
13-Aug-15,527.37,534.66,525.48,529.66,2895238
12-Aug-15,523.75,527.5,513.06,525.91,4014684
11-Aug-15,523.65,528.98,522,527.46,2676600
10-Aug-15,528.52,532.28,523,524,2615926
7-Aug-15,529.16,529.46,518.21,522.62,3969215
6-Aug-15,539.3,542.74,527.52,529.46,3820453
5-Aug-15,538.8,539.14,534.12,537.01,2889350
4-Aug-15,529.69,536.95,529.16,531.9,2934590
3-Aug-15,537.45,540.44,529.36,535.03,3014236
31-Jul-15,539.09,542.84,534.52,536.15,3025598
30-Jul-15,527.65,539.2,524.29,536.76,3743065
29-Jul-15,530.92,532.97,525.02,529,3752634
28-Jul-15,536,536.39,523.12,526.03,5273092
27-Jul-15,527.75,544.95,526.6,531.41,7490960
24-Jul-15,578.99,580.57,529.35,529.42,21909381
23-Jul-15,491.66,491.66,475.7,482.18,9374431
22-Jul-15,485.99,492.5,484.9,488.27,3114898
21-Jul-15,487.9,488.88,482.55,488,3181831
20-Jul-15,492.57,493.2,485.4,488.1,4752491
17-Jul-15,477.7,485.42,477.25,483.01,4932176
16-Jul-15,465.5,475.88,464.8,475.48,4095581
15-Jul-15,463.04,464.7,460.2,461.19,2987399
14-Jul-15,462.32,469.6,458.16,465.57,4736215
13-Jul-15,448.29,457.87,447.54,455.57,3956802
10-Jul-15,440.49,444.72,439,443.51,2400981
9-Jul-15,434.9,438.72,434.15,434.39,2271395
8-Jul-15,434.35,435.99,428.83,429.7,2383130
7-Jul-15,435.68,437.73,425.57,436.72,3454248
6-Jul-15,435.23,439.73,433.52,436.04,1903161
2-Jul-15,437,438.2,433.48,437.71,1343397
1-Jul-15,439.35,440,435.58,437.39,1987076
30-Jun-15,434.2,435.57,430.46,434.09,2596873
29-Jun-15,434.98,437,429,429.86,2753193
26-Jun-15,441.76,443.49,435.06,438.1,2624479
25-Jun-15,438.07,443.47,436.39,440.1,2237458
24-Jun-15,444.97,446.47,440.23,440.84,2620827
23-Jun-15,435.59,447.04,433.69,445.99,3245049
22-Jun-15,437,439.24,434.18,436.29,1823572
19-Jun-15,440.26,444.99,433.24,434.92,4495087
18-Jun-15,430.3,439.73,429.4,439.39,3378360
17-Jun-15,428.36,431.35,424.75,427.81,2185869
16-Jun-15,424.15,427.97,422.67,427.26,2297469
15-Jun-15,427.66,428.05,422.64,423.67,2050987
